id,disease,Symptoms,When to see a doctor,Causes,Risk factors,Complications,Prevention
1,Atrial fibrillation,"Symptoms ofAFibmay include:
Feelings of a fast, fluttering or pounding heartbeat, called palpitations.
Chest pain.
Dizziness.
Fatigue.
Lightheadedness.
Shortness of breath.
Weakness.
Some people with atrial fibrillation (AFib) don't notice any symptoms.
Atrial fibrillation may be:
Persistent.The irregular heartbeat is constant. The heart rhythm does not reset on its own. If symptoms occur, medical treatment is needed to correct the heart rhythm.
Long-standing persistent.This type ofAFibis constant and lasts longer than 12 months. Medicines or a procedure are needed to correct the irregular heartbeat.
Permanent.In this type of atrial fibrillation, the irregular heart rhythm can't be reset. Medicines are needed to control the heart rate and to prevent blood clots.","If you have symptoms of atrial fibrillation, make an appointment for a health checkup. You may be referred to a doctor trained in heart diseases, called a cardiologist.
If you have chest pain, seek immediate medical help. Chest pain could mean that you're having a heart attack.","To understand the causes of atrial fibrillation (AFib), it may be helpful to know how the heart typically beats.
The heart has four chambers:
The two upper chambers are called the atria.
The two lower chambers are called the ventricles.
Inside the upper right heart chamber is a group of cells called the sinus node. The sinus node makes the signals that starts each heartbeat.
In a healthy heart, this signaling process usually goes smoothly. The resting heart rate is typically 60 to 100 beats a minute.
But in atrial fibrillation, the signals in the upper chambers of the heart are chaotic. As a result, the upper chambers tremble or shake. TheAVnode is flooded with signals trying to get through to the lower heart chambers. This causes a fast and irregular heart rhythm.
In people withAFib, the heart rate may range from 100 to 175 beats a minute.","Things that can increase the risk of atrial fibrillation (AFib) include:
Age.The risk ofAFibincreases as you grow older.
Caffeine, nicotine or illegal drug use.Caffeine, nicotine and some illegal drugs — such as amphetamines and cocaine — can cause your heart to beat faster. Use of these substances may lead to the development of more-serious arrhythmias.
Drinking too much alcohol.Drinking too much alcohol can affect the electrical signals in the heart. This can increase the risk of atrial fibrillation.
Changes in the level of body minerals.Minerals in the blood called electrolytes — such as potassium, sodium, calcium and magnesium — help the heart beat. If these substances are too low or too high, irregular heartbeats may occur.
Family history.An increased risk of atrial fibrillation occurs in some families.
Heart problems or heart surgery.Coronary artery disease, heart valve disease and heart problems present at birth increase the risk ofAFib. A history of heart attack or heart surgery also makes a person more likely to get the condition.
Obesity.People who have obesity are at higher risk of developing atrial fibrillation.
Other long-term health conditions.You may be more likely to getAFibif you have diabetes, chronic kidney disease, lung disease or sleep apnea.
Some medicines and supplements.Some prescription medicines and certain cough and cold remedies bought without a prescription can cause irregular heartbeats.
Thyroid disease.Having an overactive thyroid gland can raise the risk of irregular heartbeats.","Blood clots are a dangerous complication of atrial fibrillation (AFib). Blood clots can lead to stroke.
The risk of stroke from AFibincreases as you grow older. Other health conditions also may increase the risk of a stroke due toAFib. These conditions include:
Diabetes.
Heart failure.
Some types of heart valve disease.
Blood thinners are commonly prescribed to prevent blood clots and strokes in people with atrial fibrillation.","Healthy lifestyle choices can reduce the risk of heart disease and may prevent atrial fibrillation (AFib). Here are some basic heart-healthy tips:
Don't smoke or use tobacco.
Eat a diet that's low in salt and saturated fat.
Get good sleep. Adults should aim for 7 to 9 hours daily.
Maintain a healthy weight.
Reduce and manage stress."
2,Abdominal aortic aneurysm,"Abdominal aortic aneurysms often grow slowly. You might not notice any symptoms. This makes them hard to find. Many start small and stay small. Others get bigger over time, sometimes quickly. Some aneurysms never rupture.
If you have an abdominal aortic aneurysm that's getting bigger, symptoms might include:
Deep, constant pain in the belly area or side of the belly.
Back pain.
A throbbing or pulsing feeling near the belly button.","If you have pain, especially if pain is sudden and very bad, get medical help right away.","An aneurysm can grow in any part of the aorta. Most aortic aneurysms happen in the part of the aorta that's in the belly area, called the abdomen.
Things that can cause an abdominal aortic aneurysm include:
Hardening of the arteries, called atherosclerosis.Atherosclerosis occurs when fat and other substances build up in and on the artery walls.
Blood vessel diseases.These diseases cause blood vessels to become swollen and irritated.
Infection in the aorta.Rarely, germs can infect the aorta and cause an abdominal aortic aneurysm.","Abdominal aortic aneurysm risk factors include:
Tobacco use.Smoking is the strongest risk factor for aortic aneurysms. Smoking weakens the walls of blood vessels, including the aorta. This raises the risk of aortic aneurysm and aneurysm rupture. The longer and more you use tobacco, the greater the chances are of developing an aortic aneurysm. Men ages 65 to 75 who have ever smoked should have a one-time ultrasound to screen for an abdominal aortic aneurysm.
Age.Abdominal aortic aneurysms occur most often in people age 65 and older.
Being white.People who are white are at higher risk of abdominal aortic aneurysms.
Family history.Having a family history of abdominal aortic aneurysms increases the risk of having the condition.
Other aneurysms.Having an aneurysm in the aorta in the chest (thoracic aortic aneurysm) or in another large blood vessel, such as the artery behind the knee, might increase the risk of an abdominal aortic aneurysm.","Possible complications of abdominal aortic aneurysms include:
Tears in one or more of the layers of the wall of the aorta, called an aortic dissection.
Rupture of the aneurysm.
A rupture can cause life-threatening bleeding inside the body. In general, the larger the aneurysm and the faster it grows, the greater the risk of rupture.
Symptoms that an aortic aneurysm has ruptured can include:
Sudden, very bad and long-lasting belly or back pain, which may feel like ripping or tearing.
Fast pulse.
Aortic aneurysms also increase the risk of developing blood clots in the area. If a blood clot breaks loose, it can block a blood vessel elsewhere in the body. Symptoms of a blocked blood vessel may include pain or reduced blood flow to the legs, toes, kidneys or belly area.","To prevent an abdominal aortic aneurysm or to keep one from worsening, take these steps:
Don't smoke or use tobacco products.If you smoke or chew tobacco, quit. Also avoid secondhand smoke. If you need help quitting, talk to your healthcare team about strategies that may help.
Eat a healthy diet.Choose a variety of fruits and vegetables, whole grains, chicken, fish, and low-fat dairy products. Avoid saturated and trans fats and limit salt."
3,Hyperhidrosis,,"Seek immediate medical attentionif you have heavy sweating with dizziness, pain in the chest, throat, jaw, arms, shoulders or throat, or cold skin and a rapid pulse.
See your health care provider if:
Sweating disrupts your daily routine
Sweating causes emotional distress or social withdrawal
You suddenly begin to sweat more than usual","Sweating is the body's mechanism to cool itself. The nervous system automatically triggers sweat glands when your body temperature rises. Sweating also occurs, especially on your palms, when you're nervous.
Primary hyperhidrosis is caused by faulty nerve signals that trigger eccrine sweat glands to become overactive. It usually affects the palms, soles, underarms and sometimes the face.
There is no medical cause for this type of hyperhidrosis. It can run in families.
Diabetes
Menopause hot flashes
Thyroid problems
Some types of cancer
Nervous system disorders
Infections","Risk factors for hyperhidrosis include:
Having a blood relative, such as a parent, sibling or grandparent, who sweats heavily
Taking medicines or supplements that cause sweating
Having a medical condition that causes sweating","Complications of hyperhidrosis include:
Infections.People who sweat a lot are more prone to skin infections.
Social and emotional effects.Having clammy or dripping hands and sweat-soaked clothes can be embarrassing. Your condition may affect your pursuit of work and educational goals.",
4,Bartholin's cyst,"If you have a small, noninfected Bartholin's cyst, you may not notice it. If the cyst grows, you might feel a lump or mass near your vaginal opening. Although a cyst is usually painless, it can be tender.
A Bartholin's cyst or abscess typically occurs on only one side of the vaginal opening.
A tender, painful lump near the vaginal opening
Discomfort while walking or sitting
Pain during intercourse
Fever","Call your doctor if you have a painful lump near the opening of your vagina that doesn't improve after two or three days of self-care — for instance, soaking the area in warm water (sitz bath). If the pain is severe, make an appointment with your doctor right away.
Also call your doctor promptly if you find a new lump near your vaginal opening and you're older than 40. Although rare, such a lump may be a sign of a more serious problem, such as cancer.",,,A Bartholin's cyst or abscess may recur and again require treatment.,
5,Absence seizure,"A simple absence seizure causes a vacant stare, which may be mistaken for a brief lapse in attention. The seizure lasts about 10 seconds, though it may last as long as 30 seconds. There's no confusion, headache or drowsiness after the seizure.
Symptoms of absence seizures include:
A sudden stop in activity without falling.
Lip smacking.
Eyelid flutters.
Chewing motions.
Finger rubbing.
Small movements of both hands.
Afterward, there's usually no memory of the incident. But if the seizure is longer, the person may be aware of missed time. Some people have many episodes daily. When it happens, it can interfere with school or daily activities.
A child may have absence seizures for some time before an adult notices them. This is because the seizures are so brief. A decline in a child's learning ability may be the first sign of the seizure disorder. Teachers may say the child has trouble paying attention or that a child is often daydreaming.","Contact your child's pediatrician:
If you're concerned that your child may be having seizures.
If your child has epilepsy but develops symptoms of a new type of seizure.
If the seizures continue to occur despite taking antiseizure medicine.
Contact 911 or emergency services in your area:
If you observe prolonged automatic behaviors lasting minutes to hours. This may include activities such as eating or moving without awareness. It also might include prolonged confusion. These are possible symptoms of a condition called status epilepticus.
After any seizure lasting more than five minutes.","Absence seizures usually have a genetic cause.
In general, seizures occur as a result of a burst of electrical impulses from nerve cells in the brain, called neurons. Neurons typically send electrical and chemical signals across the synapses that connect them.
In people who have seizures, the brain's usual electrical activity is altered. During an absence seizure, these electrical signals repeat themselves over and over in a three-second pattern.
People who have seizures also may have altered levels of the chemical messengers that help the nerve cells communicate with one another. These chemical messengers are called neurotransmitters.","Certain factors are common to children who have absence seizures, including:
Age.Absence seizures are more common in children between the ages of 4 and 14.
Family members who have seizures.Nearly a quarter of children with absence seizures have a close relative who has seizures.","While most children outgrow absence seizures, some:
Must take antiseizure medicines throughout life.
Eventually have full convulsions, such as generalized tonic-clonic seizures.
Other complications can include:
Trouble with learning.
Trouble with behavior.
Social isolation.
Injury during the seizure.",
6,Acanthosis nigricans,"The main sign of acanthosis nigricans is dark, thick, velvety skin in body folds and creases. It often appears in the armpits, groin and back of the neck. It develops slowly. The affected skin might be itchy, have an odor and develop skin tags.",Consult your health care provider if you notice changes in your skin — especially if the changes are sudden. You may have an underlying condition that needs treatment.,"Acanthosis nigricans might be related to:
Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows the body to process sugar. Insulin resistance is what leads to type 2 diabetes. Insulin resistance is also related to polycystic ovarian syndrome and might be a factor in why acanthosis nigricans develops.
High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans.
Some types of cancer cause acanthosis nigricans. These include lymphoma and cancers of the stomach, colon and liver.","The risk of acanthosis nigricans is higher in people who have obesity. The risk is also higher in people with a family history of the condition, especially in families where obesity and type 2 diabetes are also common.",People who have acanthosis nigricans are much more likely to develop type 2 diabetes.,
7,Achalasia,"Achalasia symptoms generally appear gradually and get worse over time. Symptoms may include:
Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat.
Swallowed food or saliva flowing back into the throat.
Heartburn.
Belching.
Chest pain that comes and goes.
Coughing at night.
Pneumonia from getting food in the lungs.
Weight loss.
Vomiting.",,,"Risk factors for achalasia include:
Age.Although achalasia can affect people of all ages, it's more common in people between 25 and 60 years of age.
Certain medical conditions.The risk of achalasia is higher in people with allergic disorders, adrenal insufficiency or Allgrove syndrome, a rare autosomal recessive genetic condition.",,
8,Achilles tendinitis,"Achilles tendinitis pain most often begins as a mild ache in the back of the leg or above the heel after running or other sports activity. More-severe burning or aching pain might occur after running a long time, stair climbing or sprinting. Over time, there might be pain even at rest.
Achilles tendinitis can make it hard to use the affected foot. The area also might be tender or stiff, especially in the morning. The soreness usually gets better with mild activity.
Achilles tendinitis is an injury of the Achilles (uh-KILL-eez) tendon often caused by too much use. The Achilles tendon is the band of tissue that joins calf muscles at the back of the lower leg to the heel bone.","If you have pain around the Achilles tendon that doesn't go away, call your healthcare professional. If the pain is suddenly severe or keeps you from moving, you may have torn your Achilles tendon. Seek medical help right away.","Repeated or intense strain on the Achilles tendon can cause Achilles tendinitis, though sometimes the cause is not clear. The Achilles tendon is the band of tissue that joins the calf muscles to the heel bone. This tendon is used while walking, running, jumping, climbing or standing on tip toes. Achilles tendinitis can occur within the middle part of the tendon or where it attaches to the heel bone.
The Achilles tendon weakens with age. That can make it easier to injure. This is true for people who play sports only on the weekends or who start running farther, faster or longer without building up over time.","Factors that can raise the risk of Achilles tendinitis include:
Achilles tendinitis is more common with age.
A flat arch in the foot or a high arch can increase strain in the Achilles tendon. Obesity and tight calf muscles also can increase tendon stress. Having legs that are different lengths also can increase the risk.
This increases the risk of getting it again.
Running in worn-out shoes can increase the risk of Achilles tendinitis. So can running with poor form. Tendon pain occurs more often in cold weather than in warm weather. Running hills also can raise the risk of Achilles injury.
Certain types of antibiotics, called fluoroquinolones, have been linked with higher rates of Achilles tendinitis.","Achilles tendinitis can weaken the tendon. The weakness makes it more likely to tear, also called rupture. An Achilles rupture is a serious injury that often needs surgery to repair it.","It may not be possible to prevent Achilles tendinitis. But here are some ways to reduce the risk:
Do not do high-impact activities, such as running and jumping, every day. On off-days, do low-impact activities, such as cycling and swimming."
9,Achilles tendon rupture,"Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have:
The feeling of having been kicked in the calf
Pain, possibly severe, and swelling near the heel
An inability to bend the foot downward or ""push off"" the injured leg when walking
An inability to stand on the toes on the injured leg
A popping or snapping sound when the injury occurs",,"Your Achilles tendon helps you point your foot downward, rise on your toes and push off your foot as you walk. You rely on it virtually every time you walk and move your foot.
Rupture usually occurs in the section of the tendon situated within 2 1/2 inches (about 6 centimeters) of the point where it attaches to the heel bone. This section might be prone to rupture because blood flow is poor, which also can impair its ability to heal.
Increasing the intensity of sports participation, especially in sports that involve jumping
Falling from a height
Stepping into a hole","Factors that may increase your risk of Achilles tendon rupture include:
Age.The peak age for Achilles tendon rupture is 30 to 40.
Recreational sports.Achilles tendon injuries occur more often during sports that involve running, jumping, and sudden starts and stops — such as soccer, basketball and tennis.
Steroid injections.Doctors sometimes inject steroids into an ankle joint to reduce pain and inflammation. However, this medication can weaken nearby tendons and has been associated with Achilles tendon ruptures.",,"To reduce your chance of developing Achilles tendon problems, follow these tips:
Choose running surfaces carefully.Avoid or limit running on hard or slippery surfaces. Dress properly for cold-weather training, and wear well-fitting athletic shoes with proper cushioning in the heels.
Increase training intensity slowly.Achilles tendon injuries commonly occur after an abrupt increase in training intensity. Increase the distance, duration and frequency of your training by no more than 10 percent weekly."
10,Infant reflux,,"See a healthcare professional if a baby:
Isn't gaining weight.
Consistently spits up forcefully, causing stomach contents to shoot out of the mouth. This is called projectile vomiting.
Spits up green or yellow fluid.
Spits up blood or stomach contents that look like coffee grounds.
Refuses to feed or eat.
Has blood in the stool.
Has difficulty breathing or a cough that won't go away.
Begins spitting up at age 6 months or older.
Is very irritable after eating.
Doesn't have much energy.
Some of these symptoms may mean serious but treatable conditions. These include GERD or a blockage in the digestive tract.","In infants, the ring of muscle between the esophagus and the stomach is not yet fully developed. This muscle is called the lower esophageal sphincter, also known as LES. When the LES is not fully developed, it allows stomach contents to flow back up into the esophagus. Over time, the LES typically matures. It opens when a baby swallows and remains tightly closed at other times, keeping stomach contents where they belong.
Pyloric stenosis.A muscular valve allows food to leave the stomach and enter the small intestine as part of digestion. In pyloric stenosis, the valve thickens and becomes larger than it should. The thickened valve then traps food in the stomach and blocks it from entering the small intestine.
Food intolerance.A protein in cow's milk is the most common trigger.
Eosinophilic esophagitis.A certain type of white blood cell builds up and injures the lining of the esophagus. This white blood cell is called an eosinophil.
Sandifer syndrome.This causes tilting and rotation of the head that are not usual and movements that look like seizures. It's a rare complication of GERD.","Premature birth.
Lung conditions, such as cystic fibrosis.
Conditions that affect the nervous system, such as cerebral palsy.
Previous surgery on the esophagus.","If your baby has a more serious condition such as GERD, your baby's growth may lag behind that of other children. Some research suggests that babies who have frequent episodes of spitting up might be more likely to develop GERD later in childhood.",
