Disease Name,Symptoms
Acne,"Comedones, Papules, Pustules, Nodules, Cysts, Scarring"
Rosacea,"Facial redness, Swollen red bumps, Eye problems, Enlarged nose"
Alopecia,"Hair loss, Bald patches, Thinning hair"
Bacterial skin infections,"Redness, Swelling, Pain, Warmth, Pus-filled lesions"
Cutaneous adverse drug reactions,"Rash, Itching, Hives, Swelling, Blisters"
Dermatophytosis,"Red, itchy, scaly patches, Blisters, Peeling skin"
Eczema/Dermatitis,"Dry, red, itchy skin, Inflammation, Rash, Blisters, Crusting"
Immunobullous dermatoses,"Fluid-filled blisters, Erosions, Crusting, Itching, Pain"
Psoriasis,"Red, scaly patches, Silvery scales, Itching, Burning, Swollen joints"
Rationale use of Topical Steroids,Depends on the condition being treated and the specific steroid used
Scabies,"Intense itching, Rash, Small red bumps, Scales"
Urticaria,"Raised, itchy welts, Swelling, Redness, Burning, Stinging"
Varicella and Herpes,"Blisters, Itching, Fatigue, Fever, Headache"
Vitiligo,"Loss of skin color, Patchy depigmentation, Premature whitening of hair"
Neonatal Hypoglycemia,"Refer with history of delayed cry at birth, abnormal value follow appropriate STW for Neonatal Triage, check vitals and blood glucose"
Neonatal Jaundice,"Jaundice, transitional stools, minor birth trauma, minor malformations, breastfeeding difficulty, regurgitation"
Neonatal Seizures,"Maintain TABC, check blood glucose, administer dextrose IV, calcium gluconate IV, phenobarbitone IV"
Neonatal Triage,"Temperature, heart rate, respiratory rate, oxygen saturation, capillary refill time, blood glucose"
Post Asphyxial Management of Neonates,"Lethargy/coma or irritability, absent spontaneous movements"
Supracondylar fracture of Humerus in Children,"Cover skin defects with warm saline gauze, maintain hydration, consult surgeon"
Constipation,"Decreased frequency of bowel motions, Passage of hard or large stools, Painful bowel motions with difficulty in pushing out"
Empyema,"Chest pain, Shortness of breath, Cough, Fever, Sweating, Rapid heartbeat"
Hernia in children/ Congenital Hernia,"Visible bulge in the abdomen or groin, Pain or discomfort, Swelling or lump"
Undescended Testes,"Absence of one or both testes in the scrotum, Empty scrotum, Smaller than normal scrotum"
Infertility,"Difficulty conceiving after a year of regular, unprotected intercourse"
Female Infertility,"Difficulty conceiving after a year of regular, unprotected intercourse, Irregular menstrual cycles, Hormonal imbalances"
Haemolytic Anaemia,"Fatigue, Weakness, Pale or yellowish skin, Shortness of breath, Dizziness, Rapid heart rate"
Epidermolysis bullosa,"Blistering of the skin in response to minor injury or friction, Fragile skin, Thickened skin on palms and soles"
Congenital syphilis,"Rash, Fever, Swollen liver and spleen, Jaundice, Anemia, Bone deformities, Meningitis"
