Disease Name,Symptoms
Atrial fibrillation,"Symptoms ofAFibmay include:
Feelings of a fast, fluttering or pounding heartbeat, called palpitations.
Chest pain.
Dizziness.
Fatigue.
Lightheadedness.
Shortness of breath.
Weakness.
Some people with atrial fibrillation (AFib) don't notice any symptoms.
Atrial fibrillation may be:
Persistent.The irregular heartbeat is constant. The heart rhythm does not reset on its own. If symptoms occur, medical treatment is needed to correct the heart rhythm.
Long-standing persistent.This type ofAFibis constant and lasts longer than 12 months. Medicines or a procedure are needed to correct the irregular heartbeat.
Permanent.In this type of atrial fibrillation, the irregular heart rhythm can't be reset. Medicines are needed to control the heart rate and to prevent blood clots."
Abdominal aortic aneurysm,"Abdominal aortic aneurysms often grow slowly. You might not notice any symptoms. This makes them hard to find. Many start small and stay small. Others get bigger over time, sometimes quickly. Some aneurysms never rupture.
If you have an abdominal aortic aneurysm that's getting bigger, symptoms might include:
Deep, constant pain in the belly area or side of the belly.
Back pain.
A throbbing or pulsing feeling near the belly button."
Hyperhidrosis,
Bartholin's cyst,"If you have a small, noninfected Bartholin's cyst, you may not notice it. If the cyst grows, you might feel a lump or mass near your vaginal opening. Although a cyst is usually painless, it can be tender.
A Bartholin's cyst or abscess typically occurs on only one side of the vaginal opening.
A tender, painful lump near the vaginal opening
Discomfort while walking or sitting
Pain during intercourse
Fever"
Absence seizure,"A simple absence seizure causes a vacant stare, which may be mistaken for a brief lapse in attention. The seizure lasts about 10 seconds, though it may last as long as 30 seconds. There's no confusion, headache or drowsiness after the seizure.
Symptoms of absence seizures include:
A sudden stop in activity without falling.
Lip smacking.
Eyelid flutters.
Chewing motions.
Finger rubbing.
Small movements of both hands.
Afterward, there's usually no memory of the incident. But if the seizure is longer, the person may be aware of missed time. Some people have many episodes daily. When it happens, it can interfere with school or daily activities.
A child may have absence seizures for some time before an adult notices them. This is because the seizures are so brief. A decline in a child's learning ability may be the first sign of the seizure disorder. Teachers may say the child has trouble paying attention or that a child is often daydreaming."
Acanthosis nigricans,"The main sign of acanthosis nigricans is dark, thick, velvety skin in body folds and creases. It often appears in the armpits, groin and back of the neck. It develops slowly. The affected skin might be itchy, have an odor and develop skin tags."
Achalasia,"Achalasia symptoms generally appear gradually and get worse over time. Symptoms may include:
Difficulty swallowing, called dysphagia, which may feel like food or drink is stuck in the throat.
Swallowed food or saliva flowing back into the throat.
Heartburn.
Belching.
Chest pain that comes and goes.
Coughing at night.
Pneumonia from getting food in the lungs.
Weight loss.
Vomiting."
Achilles tendinitis,"Achilles tendinitis pain most often begins as a mild ache in the back of the leg or above the heel after running or other sports activity. More-severe burning or aching pain might occur after running a long time, stair climbing or sprinting. Over time, there might be pain even at rest.
Achilles tendinitis can make it hard to use the affected foot. The area also might be tender or stiff, especially in the morning. The soreness usually gets better with mild activity.
Achilles tendinitis is an injury of the Achilles (uh-KILL-eez) tendon often caused by too much use. The Achilles tendon is the band of tissue that joins calf muscles at the back of the lower leg to the heel bone."
Achilles tendon rupture,"Although it's possible to have no signs or symptoms with an Achilles tendon rupture, most people have:
The feeling of having been kicked in the calf
Pain, possibly severe, and swelling near the heel
An inability to bend the foot downward or ""push off"" the injured leg when walking
An inability to stand on the toes on the injured leg
A popping or snapping sound when the injury occurs"
Infant reflux,
ACL injury,"Signs and symptoms of anACLinjury usually include:
A loud pop or a ""popping"" sensation in the knee
Severe pain and inability to continue activity
Rapid swelling
Loss of range of motion
A feeling of instability or ""giving way"" with weight bearing"
Acne,"Acne signs vary depending on the severity of your condition:
Whiteheads (closed plugged pores)
Blackheads (open plugged pores)
Small red, tender bumps (papules)
Pimples (pustules), which are papules with pus at their tips
Large, solid, painful lumps under the skin (nodules)
Painful, pus-filled lumps under the skin (cystic lesions)
Acne usually appears on the face, forehead, chest, upper back and shoulders."
Hidradenitis suppurativa,"Hidradenitis suppurativa can affect one or several areas of the body. Signs and symptoms of the condition include:
Blackheads.Blackheads appear in small, pitted areas of skin, often appearing in pairs.
Painful pea-sized lumps.The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.
Leaking bumps or sores.Some bumps or sores get bigger, break open and drain pus with an odor.
Tunnels.Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus."
Acoustic neuroma,"As the tumor grows, it may be more likely to cause more noticeable or worse symptoms.
Common signs and symptoms of an acoustic neuroma include:
Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.
Ringing in the affected ear, known as tinnitus.
Loss of balance or not feeling steady.
Dizziness.
Facial numbness and, very rarely, weakness or loss of muscle movement."
HIV/AIDS,The symptoms ofHIVandAIDSvary depending on the person and the phase of infection.
Acromegaly,"Acromegaly symptoms can change the way some body parts look. Changes can include:
Thick ears and lips.
A broad nose.
Enlarged hands and feet.
A jutting brow or jaw.
Gaps between teeth.
An enlarged tongue.
Skin changes can include:
Acne.
Harmless skin growths called skin tags.
Coarse, oily and thickened skin.
Swelling in the tissue under the skin.
Most often, people with acromegaly don't have every possible body change. And because the changes come on slowly, they may take years to notice. But over time, rings may no longer fit fingers like they used to. Or shoe size may get bigger. Sometimes, people notice the changes only by comparing old photos with newer ones.
Other acromegaly symptoms can include:
Vision troubles, including loss of side vision.
More sweating and body odor than is typical.
Headaches.
Joint pain.
Deeper voice."
Actinic keratosis,"Actinic keratoses vary in appearance. Symptoms include:
Rough, dry or scaly patch of skin, usually less than 1 inch (2.5 centimeters) in diameter
Flat to slightly raised patch or bump on the top layer of skin
In some cases, a hard, wartlike surface
Color variations, including pink, red or brown
Itching, burning, bleeding or crusting"
Acute coronary syndrome,"The symptoms of acute coronary syndrome usually start suddenly. They include:
Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw.
Nausea or vomiting.
Pain or burning in the upper belly, called indigestion.
Shortness of breath, also called dyspnea.
Sudden, heavy sweating.
Racing heartbeat.
Feeling lightheaded or dizzy.
Fainting.
Unusual fatigue."
Acute flaccid myelitis (AFM),"The most common signs and symptoms of acute flaccid myelitis include:
Other possible signs and symptoms include:
Uncommon symptoms might include:
Sudden arm or leg weakness
Sudden loss of muscle tone
Difficulty moving the eyes or drooping eyelids
Facial droop or weakness
Difficulty with swallowing or slurred speech
Pain in the arms, legs, neck or back
Numbness or tingling
Inability to pass urine"
Acute myelogenous leukemia,"Symptoms of acute myelogenous leukemia may include:
Fever.
Pain. Common places for pain include the bones, back and stomach.
Feeling very tired.
Paleness or change in skin color.
Frequent infections.
Easy bruising.
Bleeding with no clear cause, such as in the nose or gums.
Shortness of breath."
Guillain-Barre syndrome,"Guillain-Barre syndrome often begins with tingling and weakness starting in the feet and legs and spreading to the upper body and arms. Some people notice the first symptoms in the arms or face. As Guillain-Barre syndrome progresses, muscle weakness can turn into paralysis.
Symptoms of Guillain-Barre syndrome may include:
A pins and needles feeling in the fingers, toes, ankles or wrists.
Weakness in the legs that spreads to the upper body.
Unsteady walk or not being able to walk or climb stairs.
Trouble with facial movements, including speaking, chewing or swallowing.
Double vision or inability to move the eyes.
Severe pain that may feel achy, shooting or cramplike and may be worse at night.
Trouble with bladder control or bowel function.
Rapid heart rate.
Trouble breathing."
Acute kidney injury,"Symptoms of acute kidney injury may include:
Less urine output.
Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet.
Tiredness.
Confusion or fogginess.
Nausea.
Pain in the belly or in the side below the rib cage.
Weakness.
Irregular heartbeat.
Itching.
Loss of appetite.
Seizures or coma in severe cases.
Sometimes acute kidney injury causes no symptoms. Then it may be found through lab tests done for something else."
Acute kidney injury,"Symptoms of acute kidney injury may include:
Less urine output.
Fluid buildup, which can cause shortness of breath and swelling in the legs, ankles or feet.
Tiredness.
Confusion or fogginess.
Nausea.
Pain in the belly or in the side below the rib cage.
Weakness.
Irregular heartbeat.
Itching.
Loss of appetite.
Seizures or coma in severe cases.
Sometimes acute kidney injury causes no symptoms. Then it may be found through lab tests done for something else."
Acute liver failure,"Symptoms of acute liver failure may include:
Yellowing of the skin and eyeballs, called jaundice.
Pain in the upper right belly area, called the abdomen.
A swollen belly, known as ascites.
Nausea and vomiting.
A general sense of feeling unwell, known as malaise.
Disorientation or confusion.
Sleepiness.
Breath with a musty or sweet odor.
Tremors."
