Disease,symptoms
Abdominal aortic aneurysm,abdominal aortic aneurysm no symptoms
Acanthosis nigricans,main symptom acanthosis nigricans patches skin darker thicker usual
Achalasia,achalasia symptoms
Acne,acne commonly
Acoustic neuroma (vestibular schwannoma),acoustic neuroma obvious symptoms
Acromegaly,symptoms acromegaly slowly they
Actinic keratoses (solar keratoses),actinic keratoses patches
Anaemia,tiredness dizziness light-headed cold hands feet headache shortness breath especially exertion pale mucous membranes pale skin fingernails rapid breathing heart rate dizziness when standing up bruising easily
Animal_Bite,pain swelling necrosis infection signs redness pus fever rabies symptoms agitation hydrophobia
Anxiety Disorders,excessive fear worry panic attacks trouble concentrating irritability nausea heart palpitations sweating trembling sleep disturbances sense impending doom
Asbestos,chronic cough chest pain difficulty breathing latent symptoms mesothelioma
Asthma,persistent cough wheezing shortness breath chest tightness worsening symptoms exercise cold
Autism,social interaction difficulties communication challenges repetitive behaviors sensory sensitivities co-occurring conditions epilepsy adhd
Bacterial Vaginosis,unusual vaginal discharge fishy odor vaginal itching burning urination
Bipolar Disorder,manic episodes euphoria sudden mood shifts irritability agitation highly inflated self-esteem rapid speech shifting ideas trouble concentrating decreased need sleep reckless behavior overspending risky sexual activity fixed grandiose persecutory beliefs depressive episodes sadness irritability emptiness loss interest activities poor concentration excessive guilt low self-worth hopelessness thoughts dying suicide disrupted sleep changes appetite weight fatigue low energy
Birth Defects,structural anomalies e g heart defects cleft lip palate functional anomalies e g metabolic disorders intellectual disability physical disabilities
Blindness And Visual Impairment,blurred vision loss vision difficulty low light blind spots eye pain cases
Blood Safety And Availability,applicable entry focuses blood transfusion systems disease
Botulism,fatigue weakness vertigo blurred vision dry mouth difficulty swallowing speaking vomiting diarrhea constipation abdominal swelling muscle weakness neck arms respiratory muscles respiratory failure
Breast Cancer,breast lump thickening painless changes breast size shape appearance dimpling redness pitting breast skin changes nipple appearance discharge bloody swelling lymph nodes underarm collarbone bone pain headaches metastasized
Brucellosis,fever weakness malaise weight loss joint pain swelling joints headache sweating
Burns,skin redness first-degree burns blisters second-degree burns white charred skin third-degree burns pain second-degree burns shock severe cases
Buruli Ulcer,painless swelling nodule large painless induration plaque diffuse swelling limbs face oedema ulceration 4 weeks bone deformities severe cases
Campylobacter,diarrhea bloody abdominal pain fever headache nausea vomiting
Cancer In Children,persistent fever unexplained weight loss fatigue lumps swelling e g abdomen neck bruising bleeding easily bone pain headaches vomiting eye vision changes
Cancer,lumps abnormal growths persistent cough hoarseness changes bowel bladder habits unexplained weight loss fatigue skin changes e g yellowing darkening difficulty swallowing unusual bleeding discharge
Candidiasis,vaginal itching redness vaginal yeast infection thick white vaginal discharge pain urination sex white patches mouth oral thrush pain difficulty swallowing esophageal candidiasis red shiny skin patches skin candidiasis
Cardiovascular Diseases,chest pain discomfort heart attack pain arms shoulder jaw back shortness breath nausea vomiting light-headedness sudden weakness numbness stroke confusion speech difficulty vision problems
Cervical Cancer,abnormal vaginal bleeding pelvic pain pain sex unusual vaginal discharge weight loss fatigue
Chagas Disease,fever acute phase swelling infection site chagoma romaña's sign swollen eyelid fatigue chronic phase irregular heartbeat digestive issues enlarged esophagus colon
Chikungunya,fever severe joint pain joint swelling muscle pain headache nausea fatigue rash
Child Maltreatment,physical emotional ill-treatment sexual abuse neglect commercial exploitation
Child Mortality Under 5 Years,preterm birth complications birth asphyxia trauma pneumonia diarrhoea malaria
Chlamydia,unusual urethral discharge vaginal discharge burning when urinating pain testicles bleeding periods abdominal pain
Cholera,severe acute watery diarrhoea dehydration vomiting rapid heart rate
Chronic Obstructive Pulmonary Disease (Copd),chronic cough shortness breath wheezing chest tightness fatigue
Colorectal Cancer,changes bowel habits blood stool abdominal pain unexplained weight loss fatigue
Coronavirus Disease (Covid 19),fever chills sore throat cough shortness breath fatigue loss taste smell
Crimean Congo Haemorrhagic Fever,fever muscle aches dizziness neck pain headache sore eyes nausea vomiting diarrhoea
Deafness And Hearing Loss,difficulty hearing conversational speech difficulty hearing loud sounds tinnitus ringing ears
Dementia,forgetting recent events losing misplacing getting lost when walking driving being confused familiar places losing track difficulties solving problems making decisions problems conversations trouble words difficulties performing familiar tasks misjudging distances objects visually anxious sad angry memory loss personality changes inappropriate behaviour withdrawal work social activities being interested s emotions
Dengue And Severe Dengue,high fever 40 c 104 f severe headache pain behind eyes muscle joint pains nausea vomiting swollen glands rash severe abdominal pain persistent vomiting rapid breathing bleeding gums nose fatigue restlessness blood vomit stool being thirsty pale cold skin weak
Depression,depressed mood sad irritable empty loss pleasure interest activities poor concentration feelings excessive guilt low self-worth hopelessness future thoughts dying suicide disrupted sleep changes appetite weight tired low energy
Diabetes,thirsty needing urinate usual blurred vision tired losing weight unintentionally
Diarrhoeal Disease,passage 3 loose liquid stools severe dehydration lethargy unconsciousness sunken eyes unable drink drink poorly skin pinch goes back slowly dehydration restlessness irritability sunken eyes drinks eagerly thirsty
Diphtheria,sore throat fever swollen neck glands weakness thick grey coating nose tonsils throat
Ebola Disease,fever fatigue malaise muscle pain headache sore throat vomiting diarrhoea abdominal pain rash impaired kidney liver functions internal external bleeding
E Coli,abdominal cramps diarrhoea bloody diarrhoea haemorrhagic colitis fever vomiting
Endometriosis,severe pain pelvis especially menstrual periods pain sex when bathroom trouble getting pregnant chronic pelvic pain heavy bleeding periods periods bloating nausea fatigue depression anxiety
Epilepsy,recurrent seizures loss awareness consciousness disturbances movement sensation mood cognitive functions higher rates psychological conditions anxiety depression physical problems fractures bruising
Hepatitis_A,fever malaise loss appetite diarrhoea nausea abdominal discomfort dark-coloured urine jaundice
Hepatitis_B,yellowing skin eyes jaundice dark urine tired nausea vomiting pain abdomen
Hepatitis C,fever tired loss appetite nausea vomiting abdominal pain dark urine yellowing skin eyes jaundice
Hepatitis D,fever fatigue loss appetite nausea vomiting dark urine yellow eyes jaundice fulminant hepatitis severe cases
Hepatitis E,fever reduced appetite anorexia nausea vomiting abdominal pain itching skin rash joint pain jaundice dark urine pale stools slightly enlarged tender liver hepatomegaly
Herpes Simplex Virus,painful blisters ulcers fever aches swollen lymph nodes tingling itching burning sores cold sores oral herpes genital sores genital herpes
Hiv Aids,fever headache rash sore throat swollen lymph nodes weight loss diarrhoea cough tuberculosis tb cryptococcal meningitis severe bacterial infections cancers lymphomas kaposi's sarcoma
Hypertension,no symptoms severe headaches chest pain dizziness difficulty breathing nausea vomiting blurred vision anxiety confusion buzzing ears nosebleeds abnormal heart rhythm
Influenza (Seasonal),sudden onset fever cough dry headache muscle joint pain severe malaise sore throat runny nose
Lassa Fever,fever general weakness headache malaise sore throat muscle pain chest pain nausea vomiting diarrhoea cough abdominal pain facial swelling severe cases fluid lung cavity severe cases bleeding mouth nose vagina gi tract severe cases
Leishmaniasis,visceral leishmaniasis irregular bouts fever weight loss enlargement spleen liver anaemia cutaneous leishmaniasis skin lesions mainly ulcers exposed parts life-long scars serious disability stigma mucocutaneous leishmaniasis partial total destruction mucous membranes nose mouth throat
Leprosy,affects skin peripheral nerves progressive permanent disabilities left untreated
Listeriosis,noninvasive listeriosis diarrhoea fever headache muscle pain invasive listeriosis fever muscle pain septicemia meningitis
Low Back Pain,dull ache sharp pain lower edge ribs buttock pain radiate into legs restrict movement affect sleep mood quality life
Lung Cancer,cough go chest pain shortness breath coughing up blood fatigue weight loss no known lung infections keep coming back
Lymphatic Filariasis,asymptomatic infections hidden damage lymphatic system chronic conditions lymphoedema elephantiasis hydrocele acute episodes local inflammation involving skin lymph nodes lymphatic vessels
Malaria,fever headache chills extreme tiredness fatigue impaired consciousness multiple convulsions difficulty breathing dark bloody urine jaundice abnormal bleeding
Malnutrition,undernutrition wasting low weight-for-height stunting low height-for-age underweight low weight-for-age micronutrient deficiencies lack important vitamins minerals overweight obesity abnormal excessive fat accumulation
Marburg Virus Disease,high fever severe headache severe malaise muscle aches pains severe watery diarrhoea abdominal pain cramping nausea vomiting non-itchy rash haemorrhagic manifestations fresh blood vomitus faeces bleeding nose gums vagina
Measles,high fever cough runny nose red watery eyes small white spots cheeks rash starting face upper neck spreading hands feet
Meningitis,fever neck stiffness confusion altered mental status headache sensitivity light nausea vomiting seizures coma severe cases
Mpox,rash fever sore throat headache muscle aches back pain low energy swollen lymph nodes
Palliative Care,pain difficulty breathing
Parkinson Disease,slow movement tremor involuntary movement rigidity trouble walking imbalance cognitive impairment mental disorders dementia sleep disorders pain sensory disturbances
Patient Safety,medication errors surgical errors care-associated infections sepsis diagnostic errors falls venous thromboembolism pressure ulcers unsafe transfusion practices misidentification unsafe injection practices
Pesticide Residues In Food,acute poisoning chronic effects e g cancer adverse reproductive effects
Physical Activity,increased risk noncommunicable diseases e g cardiovascular diseases cancer diabetes symptoms depression anxiety
Plague,sudden onset fever chills head aches weakness vomiting nausea painful swollen lymph nodes buboes open sores filled pus advanced stages
Pneumonia,fever cough difficulty breathing fast breathing lower chest wall indrawing wheezing common viral infections
Podoconiosis (Non Filarial Lymphoedema),burning sensation itching back feet skin thickening papillomatous growths feet heel foot lower leg swelling oedema nodules maceration toes
Poliomyelitis,fever fatigue headache vomiting stiffness neck pain limbs irreversible paralysis legs
Polycystic Ovary Syndrome,irregular periods infertility acne oily skin excessive hair face male-pattern baldness hair thinning weight gain especially belly
Post Covid 19 Condition (Long Covid),fatigue aches pains muscles joints breathlessness headaches difficulty thinking concentrating alterations taste impaired sleep depression anxiety
Post Traumatic Stress Disorder,re-experiencing traumatic event e g intrusive memories nightmares flashbacks avoidance reminders event heightened sense danger hypervigilance easily startled depression anxiety substance disorders
Pre Eclampsia,persistent high blood pressure proteinuria severe headaches visual disturbances e g blurred vision spots upper abdominal pain nausea vomiting trimester swelling hands face
Preterm Birth,premature birth 37 weeks gestation complications newborns e g respiratory distress infections
Rabies,fever pain tingling burning wound site hyperactivity excitable behaviour hallucinations lack coordination hydrophobia fear water aerophobia fear drafts muscle paralysis paralytic rabies
Refugee And Migrant Health,worse outcomes barriers e g language discrimination higher risk noncommunicable diseases poor mental e g anxiety depression ptsd
Refugee And Migrant Mental Health,depression anxiety post-traumatic stress disorder ptsd suicide psychoses
Rehabilitation,difficulty thinking hearing communicating eating moving
Respiratory Syncytial Virus (Rsv),runny nose sore throat headache fatigue fever cough shortness breath fast breathing bronchospasm wheezing
Rheumatic Heart Disease,fever painful joints fatigue jerky uncontrollable movements chorea painless nodules skin rash heart murmur chest pain discomfort shortness breath swelling stomach hands feet rapid irregular heartbeat
Rheumatoid Arthritis,chronic pain stiffness tenderness heat swelling joints fatigue fever poor sleep quality loss appetite depressive symptoms
Rift Valley Fever,flu-like fever muscle joint pain headache neck stiffness sensitivity light loss appetite vomiting blurred decreased vision intense headache memory loss hallucinations confusion disorientation vertigo convulsions lethargy coma vomiting blood blood faeces purpuric rash bleeding nose gums menorrhagia
Ringworm (Tinea),itching redness ring-shaped rash hair loss scalp ringworm scaling skin foot ringworm thick discoloured brittle nails nail ringworm
Road Traffic Injuries,injuries crashes disability death
Rubella,mild fever rash muscle joint pain headache swollen lymph glands
Salmonella (Non Typhoidal),fever abdominal pain diarrhoea nausea vomiting
Sand And Dust Storms,respiratory issues cardiovascular problems
Scabies,severe itch itchy lines linear burrows bumps papules enflamed bumps male genitalia female breasts rash infants small
Schistosomiasis,abdominal pain diarrhoea blood stool liver enlargement haematuria blood urine kidney damage fibrosis bladder ureter genital lesions vaginal bleeding pain sexual intercourse nodules vulva
Schizophrenia,persistent delusions persistent hallucinations disorganized thinking highly disorganized behaviour limited speech restricted emotions social withdrawal cognitive impairments
Sepsis,fever low temperature shivering confusion difficulty breathing clammy sweaty skin extreme pain high heart rate weak pulse low blood pressure low urine output fast breathing convulsions pale skin lethargy
Sexually Transmitted Infections (Stis),persistent delusions persistent hallucinations disorganized thinking highly disorganized behaviour limited speech restricted emotions social withdrawal cognitive impairments
Shingles (Herpes Zoster),painful rash itching tingling numbness fever headache chills fatigue
Snakebite Envenoming,paralysis prevent breathing bleeding disorders fatal haemorrhage irreversible kidney failure tissue damage causing permanent disability limb amputation
Social Determinants Of Health,lower life expectancy poor outcomes higher mortality rates
Sodium Reduction,raised blood pressure increased risk cardiovascular diseases gastric cancer obesity osteoporosis meniere s disease kidney disease
Soil Transmitted Helminth Infections,intestinal manifestations diarrhoea abdominal pain malnutrition general malaise weakness impaired growth physical development intestinal obstruction severe cases
Spinal Cord Injury,partial complete loss sensory motor functions bowel bladder sexual dysfunction dysregulation blood pressure heart rate temperature spasticity chronic pain urinary tract infections pressure ulcers respiratory complications autonomic dysreflexia deep vein thrombosis osteoporosis depression
Sporotrichosis,nodules plaques exposed skin sites ulceration nodules plaques lymphocutaneous spread sporotrichoid pattern erythema multiforme cat-related infections arthritis respiratory infection meningitis rare deep forms
Substandard And Falsified Medical Products,ineffective treatment illness harmful effects contaminants toxic substances increased risk antimicrobial resistance
Sugars And Dental Caries,tooth decay dental cavities pain infection tooth extraction
Suicide,mental disorders depression alcohol disorders previous suicide attempt breakdown ability deal life stresses conflict disaster violence abuse loss sense isolation
Syphilis,primary stage painless chancre secondary stage non-itchy rash lesions latent stage asymptomatic tertiary stage brain cardiovascular diseases congenital syphilis rashes inflammation anaemia developmental delays
Taeniasis Cysticercosis,abdominal pain nausea diarrhoea constipation neurocysticercosis severe headache blindness convulsions epileptic seizures
Tetanus,jaw cramping inability open mouth muscle spasms trouble swallowing seizures headache fever sweating changes blood pressure heart rate
Trachoma,inflammation eye scarring eyelid eyelashes rubbing eyeball trichiasis constant pain light intolerance scarring cornea visual impairment blindness
Trichomoniasis,vaginal discharge itch pain when urinating pain intercourse urethral discharge pain when urinating
Trypanosomiasis Human African (Sleeping Sickness),stage bouts fever headache enlarged lymph nodes joint pains itching stage behavior changes confusion sensory disturbances poor coordination sleep cycle disturbance
Tuberculosis,prolonged cough blood chest pain weakness fatigue weight loss fever night sweats
Tungiasis,pain itching difficulty walking lesions feet whitish disc dark center abscesses bacterial superinfection
Typhoid,prolonged fever fatigue headache nausea abdominal pain constipation diarrhoea rash
Ultraviolet Radiation,sunburn premature skin aging skin cancer melanoma squamous cell carcinoma basal cell carcinoma eye damage cataracts pterygium
West Nile Virus,fever headache aches rash severe cases neurological symptoms e g encephalitis
Zika Virus,rash fever conjunctivitis muscle joint pain headache
Broken bone,symptoms broken bone visibly out-of-place misshapen limb joint swelling bruising bleeding intense pain numbness tingling broken skin bone protruding limited mobility inability move limb put weight leg
Allergic reactions,few hives especially neck face itching nasal congestion rashes watery red eyes abdominal pain abnormal high-pitched breathing sounds anxiety chest discomfort tightness cough diarrhea difficulty breathing wheezing difficulty swallowing dizziness lightheadedness flushing redness face hives nauseaâ vomiting palpitations swelling face eyes tongue unconsciousness
Traumatic amputation,bleeding minimal severe depending location nature injury pain degree pain related severity injury amount bleeding crushed tissue badly mangled partially attached muscle bone tendon skin
Breathing difficulties - first aid,having breathing difficulty uncomfortable they they might symptoms allergy causing breathing problem they might rash swelling face tongue throat injury causing breathing difficulty they might bleeding visible wound breathing rapidly unable breathe lying down need sit up breathe anxious agitated sleepy confused dizziness lightheadedness pain fever cough nausea vomiting bluish lips fingers fingernails chest moving unusual gurgling wheezing making whistling sounds muffled voice difficulty speaking coughing up blood rapid irregular heartbeat sweating
Tailbone trauma,symptoms bruising lower spine pain when sitting putting pressure tailbone
CPR - infant,no breathing no pulse unconsciousness
CPR - young child (age 1 year to onset of puberty),no breathing no pulse unconsciousness
CPR - adult and child after onset of puberty,no breathing difficulty breathing gasping no pulse unconsciousness
Dislocation,dislocated joint nursemaid's elbow pulled elbow partial dislocation common toddlers main symptom pain doesn't want arm dislocation easily treated your provider's office accompanied numbness tingling joint painful especially you try joint put weight limited movement swollen bruised visibly out discolored misshapen
Drug use first aid,drug overdose symptoms vary widely depending specific drug drug withdrawal symptoms vary widely depending specific drug abnormal pupil size pupils don't change size when light shined into them agitation seizures tremors delusional paranoid behavior hallucinations difficulty breathing drowsiness coma nausea vomiting staggering unsteady gait ataxia sweating extremely dry hot skin blisters rash violent aggressive behavior death abdominal cramping agitation restlessness cold sweat delusions hallucinations depression nausea vomiting diarrhea seizures death
Smashed fingers,symptoms difficulty moving tip finger discoloration bruising finger fingernail finger pain loss fingernail swelling
Broken or dislocated jaw,symptoms broken jaw symptoms dislocated jaw pain face jaw located front ear affected â worse movement bruising swelling face bleeding mouth difficulty chewing misaligned teeth jaw jaw stiffness difficulty opening mouth widely problem closing mouth jaw moving when opening jaw tenderness pain worse biting chewing loose damaged teeth lump abnormal appearance cheek jaw numbness face particularly lower lip ear pain pain face jaw located front ear affected worse movement bite off crooked problems talking inability mouth drooling because inability mouth locked jaw jaw protrudes forward teeth line up properly
Unconsciousness - first aid,unresponsive respond activity touch sound stimulation symptoms been unconscious unconscious choking symptoms being asleep being unconscious sleeping respond loud noises gentle shaking unconscious amnesia remembering events period unconsciousness confusion drowsiness headache inability speak move parts stroke symptoms lightheadedness loss bowel bladder control incontinence rapid heartbeat palpitations slow heartbeat stupor severe confusion weakness inability speak difficulty breathing noisy breathing high-pitched sounds inhaling weak ineffective coughing bluish skin color
Radiation sickness,symptoms radiation sickness your advise you how best treat these symptoms medicines prescribed help reduce nausea vomiting pain blood transfusions anemiaâ low counts healthy red blood cells antibiotics prevent fight infections weakness fatigue fainting confusion bleeding nose mouth gums rectum bruising skin burns open sores skin sloughing skin dehydration diarrhea bloody stool fever hair loss inflammation exposed areas redness tenderness swelling bleeding nausea vomiting vomiting blood ulcers sores mouth esophagus food pipe stomach intestines
Poison ivy - oak - sumac rash,symptoms reaction vary mild severe rare cases rash needs treated hospital worst symptoms days 4 7 coming contact plant rash last 1 3 weeks extreme itching red streaky patchy rash where plant touched skin red bumps large weeping blisters
Head injury - first aid,head injuries bleeding brain tissue layers surround brain subarachnoid hemorrhage subdural hematoma epidural hematoma symptoms head injury right slowly several hours days skull fractured brain hit skull bruised head fine problems bleeding swelling skull spinal cord likely injured falls significant height ejection vehicle head injuries changes brain function called traumatic brain injury concussion traumatic brain injury symptoms concussion range mild severe
Spinal injury,symptoms spinal cord injury head unusual position numbness tingling spreads down arm leg weakness difficulty walking paralysis loss movement arms legs loss bladder bowel control shock pale clammy skin bluish lips fingernails acting dazed semiconscious lack alertness unconsciousness stiff neck headache neck pain
Burns,burn symptoms you airway burn you blisters intact unbroken â ruptured leaking fluid pain how pain you unrelated level burn serious burns painless peeling skin shockâ watch pale clammy skin weakness blue lips fingernails decrease alertness swelling red white charred skin burns head face neck eyebrows nose hairs burned lips mouth coughing difficulty breathing dark black-stained mucus voice changes wheezing
Snake bites,symptoms depend snake rattlesnake bites painful when they symptoms begin right cottonmouth copperhead bites painful right when they symptoms begin right coral snake bites painless major symptoms hours mistake thinking you fine bite good you lot pain untreated coral snake bites deadly symptoms bleeding wound blurred vision burning skin seizures convulsions diarrhea dizziness excessive sweating fainting fang marks skin fever increased thirst loss muscle coordination nausea vomiting numbness tingling rapid pulse tissue death severe pain skin discoloration swelling site bite weakness bleeding breathing difficulty blurred vision eyelid drooping low blood pressure nausea vomiting numbness pain site bite paralysis rapid pulse skin color changes swelling tingling tissue damage thirst tiredness weakness weak pulse bleeding breathing difficulty low blood pressure nausea vomiting numbness tingling pain site bite shock skin color changes swelling thirst tiredness tissue damage weakness weak pulse blurred vision breathing difficulty convulsions drowsiness eyelid drooping headache low blood pressure mouth watering excessive salivation nausea vomiting numbness pain swelling site bite paralysis shock slurred speech swallowing difficulty swelling tongue throat weakness skin color changes skin tissue damage stomach abdominal pain weak pulse
Marine animal stings or bites,there pain burning swelling redness bleeding bite sting symptoms affect entire cramps diarrhea difficulty breathing groin pain armpit pain fever nausea vomiting paralysis sweating unconsciousness sudden death heart rhythm irregularities weakness faintness dizziness
Insect bites and stings,symptoms depend bite sting they severe life-threatening allergic reactions bee stings insect bites called anaphylactic shock condition quickly rapid death treated quickly symptoms anaphylaxis quickly affect whole they pain redness swelling itching burning numbness tingling abdominal pain vomiting chest pain difficulty swallowing difficulty breathing face mouth swelling fainting lightheadedness rash skin flushing
Foreign object - swallowed,symptoms only minor symptoms object forgotten symptoms inflammation infection choking coughing wheezing noisy breathing no breathing breathing trouble respiratory distress chest throat neck pain turning blue red white face difficulty swallowing saliva
Foreign body in the nose,symptoms your foreign his her nose difficulty breathing affected nostril nose foul-smelling bloody nasal discharge irritability particularly infants irritation pain nose
Hypothermia,hypothermia they slowly lose ability think move fact they unaware they need emergency treatment hypothermia likely frostbite symptoms lethargy weakness sleepiness cardiac arrest shock coma set prompt treatment hypothermia fatal confusion drowsiness pale cold skin slowed breathing heart rate shivering cannot controlled extremely low temperatures shivering stop weakness loss coordination
Shock,shock extremely low blood pressure depending specific shock symptoms anxiety agitation restlessness bluish lips fingernails chest pain confusion dizziness lightheadedness faintness pale cool clammy skin low no urine output profuse sweating moist skin rapid weak pulse shallow breathing being unconscious unresponsive
Sprains,joint pain muscle pain swelling joint stiffness discoloration skin especially bruising
Strains,symptoms strain pain difficulty moving injured muscle discolored bruised skin swelling
Cuts and puncture wounds,symptoms infection cuts puncture wounds likely infected bleeding problems function movement numbness tingling below wound site pain bites punctures crush injuries dirty wounds wounds feet wounds promptly treated
Genital injury,symptoms abdominal pain bleeding bruising change shape affected faintness foul-smelling vaginal urethral discharge object embedded opening groin pain genital pain extreme swelling urine drainage vomiting urination painful inability urinate open wound
Bleeding,you symptoms bleeding shock symptoms symptoms internal bleeding those above shock well blood coming natural opening sign internal bleeding these symptoms blood coming open wound bruising confusion decreasing alertness clammy skin dizziness light headedness injury low blood pressure paleness pallor rapid pulse increased heart rate shortness breath weakness abdominal pain swelling chest pain skin color changes blood stool black maroon bright red blood urine red pink tea-colored blood vomit bright red brown coffee-grounds vaginal bleeding heavier usual menopause
Non-fatal drowning,symptoms vary swollen belly abdominal distention bluish skin face especially lips chest pain cold skin pale appearance confusion cough pink frothy sputum irritability lethargy no breathing restlessness shallow gasping respirations unconsciousness lack responsiveness vomiting
Choking - infant under 1 year,danger signs choking bluish skin color cyanosis difficulty breathing ribs chest pull inward loss consciousness unresponsiveness blockage cleared inability cry sound weak ineffective coughing soft high-pitched sounds inhaling
Choking - adult or child over 1 year,when older choking they grab their throat hand these danger signs inability speak difficulty breathing noisy breathing high-pitched sounds inhaling weak ineffective coughing bluish skin color cyanosis loss consciousness unresponsiveness blockage cleared
Choking - unconscious adult or child over 1 year,symptoms choking when unconscious bluish color lips nails cyanosis inability breathe
Ear emergencies,symptoms bleeding ear bruising redness clear liquid coming out ear brain fluid called cerebrospinal fluid dizziness earache loss hearing nausea vomiting noises ear sensations object ear swelling visible object ear fever hearing loss
Electrical injury,symptoms depend symptoms strength voltage how long you contact electricity how electricity moved your your overall changes alertness consciousness broken bones heart attack chest arm neck jaw back pain headache problems swallowing vision hearing irregular heartbeat muscle spasms pain numbness tingling breathing problems lung failure seizures skin burns
Eye emergencies,depending injury symptoms bleeding discharge eye bruising decreased vision double vision eye pain headache itchy eyes loss vision total partial eye bothâ pupils unequal size redness bloodshot appearance sensation eye sensitivity light stinging burning eye
Fishhook removal,fishhook stuck skin pain localized swelling bleeding
Heat emergencies,muscle cramps stage heat illness heat exposure continues these symptoms treated they heat exhaustion then heat stroke heat stroke when no longer able regulate its temperature keeps rising heat stroke shock brain damage organ failure death early symptoms heat illness later symptoms heat exhaustion symptoms heatstroke those heat exhaustion combination high temperature significant neurologic symptoms call 911 local emergency number right muscle cramps pains legs abdomen multiple factors exercising heat fatigue thirst heavy sweating cool moist skin dark urine dizziness lightheadedness headache nausea vomiting weakness rapid shallow breathing rapid weak pulse fever temperature above 104â f 40â c extreme confusion altered level consciousness irrational behavior seizures unconsciousness loss responsiveness
Frostbite,symptoms frostbite severe frostbite frostbite affect hands feet nose ears places prone frostbite pins needles followed numbness hard pale cold skin been exposed cold too long aching throbbing lack affected red extremely painful skin muscle thaws blisters gangrene blackened dead tissue damage tendons muscles nerves bone frostbite affect your blood vessels complete recovery possible frostbite affected blood vessels damage permanent gangrene require removal affected amputation
Chemical burn or reaction,depending exposure symptoms abdominal pain breathing difficulty bright red bluish skin lips convulsions seizures dizziness eye pain burning watering headache hives itching swelling weakness allergic reaction irritability nausea andâ vomiting pain where skin come contact toxic substance rash blisters burns skin unconsciousness states altered level consciousness
Skull fracture,symptoms cases only symptom bump head bump bruise up 24 hours bleeding wound ears nose eyes bruising behind ears eyes changes pupils sizes unequal reactive light confusion convulsions seizures difficulties balance drainage clear bloody fluid ears nose drowsiness headache loss consciousness unresponsiveness nausea vomiting restlessness irritability slurred speech stiff neck swelling visual disturbances
Nose fracture,symptoms bruised appearance disappears 2 weeks blood coming nose bruising eyes difficulty breathing nose misshapen appearance apparent swelling goes down pain swelling
Heart attack first aid,symptoms heart attack vary they mild severe older diabetes likely subtle unusual symptoms symptoms changes mental status especially older chest pain pressure squeezing fullness pain center chest jaw shoulder arms back stomach last few minutes come go cold sweat lightheadedness nausea common indigestion vomiting numbness aching tingling arm left arm right arm affected alone left shortness breath weakness fatigue especially older
Sleep disorders in older adults,symptoms difficulty falling asleep difficulty telling difference night early morning awakening waking up night nocturia
Atelectasis,symptoms there no symptoms atelectasis mild breathing difficulty chest pain cough
Blockage of upper airway,symptoms vary depending symptoms common types airway blockage these agitation fidgeting bluish color skin cyanosis changes consciousness choking confusion difficulty breathing gasping air panic unconsciousness lack responsiveness wheezing crowing whistling unusual breathing noises indicating breathing difficulty
Histiocytosis,langerhans cell histiocytosis erdheim-chester disease affect whole systemic disorder symptoms vary they symptoms tumors weight-bearing bones legs spine bones fracture obvious reason symptoms note 5 years only bone involvement symptoms abdominal pain bone pain delayed puberty dizziness ear drainage continues long-term eyes stick out irritability failure thrive fever frequent urination headache jaundice limping mental decline rash seborrheic dermatitis scalp seizures short stature swollen lymph glands thirst increased drinking fluids vomiting weight loss bone pain chest pain cough fever general discomfort uneasiness ill increased amount urine rash shortness breath thirst increased drinking fluids weight loss
Idiopathic pulmonary fibrosis,when you ipf your lungs scarred stiffened hard you breathe ipf worse quickly months few years others ipf worsens longer symptoms chest pain cough dry able active shortness breath activity symptom lasts months years when rest faint gradual weight loss
Solitary pulmonary nodule,solitary pulmonary nodule itself rarely symptoms
