Disease,Symptoms
"AAA, see Abdominal aortic aneurysm",Abdominal aortic aneurysm often has no symptoms.
Abdominal aortic aneurysm,Abdominal aortic aneurysm often has no symptoms.
Acanthosis nigricans,The main symptom of acanthosis nigricans is patches of skin that are darker and thicker than usual.
Achalasia,Not everyone with achalasia will have symptoms.
Acid and chemical burns,
"Acid reflux in babies, see Reflux in babies",Reflux usually starts before a baby is 8 weeks old and gets better by the time they're 1.
Acne,Acne most commonly develops on the:
Acoustic neuroma (vestibular schwannoma),An acoustic neuroma may not cause any obvious symptoms at first.
Acromegaly,Symptoms of acromegaly can develop slowly. They may include:
Actinic keratoses (solar keratoses),Actinic keratoses patches:
Anaemia,"tiredness; dizziness or feeling light-headed; cold hands and feet; headache; shortness of breath, especially upon exertion; pale mucous membranes; pale skin and under the fingernails; rapid breathing and heart rate; dizziness when standing up; bruising more easily"
Animal_Bite,"pain; swelling; necrosis; infection signs (redness, pus); fever; rabies symptoms (agitation, hydrophobia)"
Anxiety Disorders,excessive fear/worry; panic attacks; trouble concentrating; irritability; nausea; heart palpitations; sweating/trembling; sleep disturbances; sense of impending doom
Asbestos,chronic cough; chest pain; difficulty breathing; latent symptoms (mesothelioma)
Asthma,persistent cough; wheezing; shortness of breath; chest tightness; worsening symptoms during exercise/cold
Autism,"social interaction difficulties; communication challenges; repetitive behaviors; sensory sensitivities; co-occurring conditions (epilepsy, ADHD)"
Bacterial Vaginosis,unusual vaginal discharge; fishy odor; vaginal itching; burning during urination
Bipolar Disorder,"manic episodes (euphoria, sudden mood shifts, irritability, agitation); highly inflated self-esteem; rapid speech and shifting ideas; trouble concentrating; decreased need for sleep; reckless behavior (overspending, risky sexual activity); fixed grandiose or persecutory beliefs; depressive episodes (sadness, irritability, emptiness); loss of interest in activities; poor concentration; excessive guilt or low self-worth; hopelessness; thoughts of dying or suicide; disrupted sleep; changes in appetite or weight; fatigue or low energy"
Birth Defects,"structural anomalies (e.g., heart defects, cleft lip/palate); functional anomalies (e.g., metabolic disorders); intellectual disability; physical disabilities"
Blindness And Visual Impairment,blurred vision; loss of vision; difficulty seeing in low light; blind spots; eye pain (in some cases)
Blood Safety And Availability,"Not applicable (this entry focuses on blood transfusion systems, not a disease)"
Botulism,"fatigue and weakness; vertigo; blurred vision; dry mouth; difficulty swallowing and speaking; vomiting, diarrhea, or constipation; abdominal swelling; muscle weakness (neck, arms, respiratory muscles); respiratory failure"
Breast Cancer,"breast lump or thickening (usually painless); changes in breast size, shape, or appearance; dimpling, redness, or pitting of breast skin; changes in nipple appearance or discharge (may be bloody); swelling in lymph nodes (underarm or collarbone); bone pain or headaches (if metastasized)"
Brucellosis,fever; weakness; malaise; weight loss; joint pain; swelling of joints; headache; sweating
Burns,skin redness (first-degree burns); blisters (second-degree burns); white or charred skin (third-degree burns); pain (in first- and second-degree burns); shock (in severe cases)
Buruli Ulcer,painless swelling (nodule); large painless area of induration (plaque); diffuse swelling of limbs or face (oedema); ulceration (within 4 weeks); bone deformities (in severe cases)
Campylobacter,diarrhea (often bloody); abdominal pain; fever; headache; nausea; vomiting
Cancer In Children,"persistent fever; unexplained weight loss; fatigue; lumps or swelling (e.g., in abdomen, neck); bruising or bleeding easily; bone pain; headaches (with vomiting); eye or vision changes"
Cancer,"lumps or abnormal growths; persistent cough or hoarseness; changes in bowel or bladder habits; unexplained weight loss; fatigue; skin changes (e.g., yellowing, darkening); difficulty swallowing; unusual bleeding or discharge"
Candidiasis,"vaginal itching and redness (vaginal yeast infection); thick, white vaginal discharge; pain during urination or sex; white patches in mouth (oral thrush); pain or difficulty swallowing (esophageal candidiasis); red, shiny skin patches (skin candidiasis)"
Cardiovascular Diseases,"chest pain or discomfort (heart attack); pain in arms, shoulder, jaw, or back; shortness of breath; nausea or vomiting; light-headedness; sudden weakness or numbness (stroke); confusion or speech difficulty; vision problems"
Cervical Cancer,abnormal vaginal bleeding; pelvic pain; pain during sex; unusual vaginal discharge; weight loss; fatigue
Chagas Disease,fever (acute phase); swelling at infection site (chagoma); Romaña's sign (swollen eyelid); fatigue (chronic phase); irregular heartbeat; digestive issues (enlarged esophagus or colon)
Chikungunya,fever; severe joint pain; joint swelling; muscle pain; headache; nausea; fatigue; rash
Child Maltreatment,physical and emotional ill-treatment; sexual abuse; neglect; commercial exploitation
