Disease Name,Symptoms
Abdominal Adhesions,
Abdominal Aortic Aneurysm,
Absence Seizures (Petit Mal Seizures),
Achalasia,"The symptoms of achalasia come on gradually. They may take years to progress.
Symptoms can include
"
ACL (Anterior Cruciate Ligament) Injuries,
Acne,
Acoustic Neuroma,
Acute Bronchitis,
Acute Lymphocytic Leukemia (ALL) in Adults,
Acute Lymphocytic Leukemia (ALL) in Children,
Acute Myeloid Leukemia (AML),
Acute Pancreatitis,
Acute Prostatitis,
Acute Sinusitis,
Adenocarcinoma of the lung,
Adrenocortical Carcinoma,
"Age Spots (Solar Lentigo, Liver Spots)",
Aging Overview,
Alcohol Use Disorder (Alcoholism),
Alcohol Withdrawal,
Allergy Overview,
Allergy Shots (Allergen Immunotherapy),
Alopecia Areata,
Altitude Sickness,
Alzheimer's Disease,
Amenorrhea,
Amyloidosis,
Amyotrophic Lateral Sclerosis (ALS),
Anal Cancer,
Anal Disorders,
Anal Itch (Pruritus Ani),"Anal itch is an irritating sensation around the anus that is relieved temporarily by scratching or rubbing. The problem is often worse at night and may interfere with sleep. In most cases, the skin in the area is red.
If anal itch becomes a chronic (long-term) problem, the skin around the anus may become raw and tender from repeated scratching, or it may thicken and become leathery. Repeated scratching also can cause breaks in the anal skin that can lead to painful local infections.
"
Anaphylaxis,
Angina,
Ankle Fracture,
Ankle Sprain,"Most sprains happen when the ankle twists suddenly. The most common injuries happen when the foot rolls onto the outside of the ankle, straining the outside ligaments of the ankle joint. These are called inversion injuries. Less common are eversion injuries, which happen when the ankle rolls onto the inside of the joint, stretching the ligaments on the inner side of the ankle.
Symptoms of a sprained ankle include:
"
Ankylosing Spondylitis,
Anorexia Nervosa,
Antibiotic-Associated Diarrhea,
Antiphospholipid Antibody Syndrome,
Antisocial Personality Disorder,
Aplastic Anemia,
Appendicitis,
Arm Fracture,
Arthritis Associated With Inflammatory Bowel Disease,
Asthma,
Astigmatism,
Asymptomatic Bacteriuria,
Atherosclerosis,
Athlete's Foot (Tinea Pedis),
Atrial Fibrillation,
Attention Deficit Hyperactivity Disorder (ADHD),
Autism (Autism Spectrum Disorder),
Back Pain,
Bacterial Vaginosis (Gardnerella Vaginitis),
Barium Enema,
Barotrauma,
Bartholin's Gland Cyst,
Basal Cell Carcinoma,
Bedsores (Decubitus Ulcers),
Bedwetting (Enuresis),
Behcet's Disease,
Bells Palsy,
Bile Duct Diseases,
Biliary Colic,
Bipolar Disorder (Manic Depressive Illness or Manic Depression),
Black Eye,
Bladder Cancer,
Bladder Infection (Cystitis),
Blepharitis,"The symptoms of blepharitis can include any or all of the following:
"
