Disease Name,Symptoms
Broken bone,"Symptoms of a broken bone include:; A visibly out-of-place or misshapen limb or joint; Swelling, bruising, or bleeding; Intense pain; Numbness and tingling; Broken skin with bone protruding; Limited mobility or inability to move a limb or put weight on the leg"
Allergic reactions,"Common symptoms of a mild allergic reaction include:; Symptoms of a moderate or severe reaction include:; A few hives (especially over the neck and face); Itching; Nasal congestion; Rashes; Watery, red eyes; Abdominal pain; Abnormal (high-pitched) breathing sounds; Anxiety; Chest discomfort or tightness; Cough; Diarrhea; Difficulty breathing, wheezing; Difficulty swallowing; Dizziness or lightheadedness; Flushing or redness of the face; Hives all over; NauseaÂ or vomiting; Palpitations; Swelling of the face, eyes, or tongue; Unconsciousness"
Traumatic amputation,"Symptoms may include:; Bleeding (may be minimal or severe, depending on the location and nature of the injury); Pain (the degree of pain is not always related to the severity of the injury or the amount of bleeding); Crushed body tissue (badly mangled, but still partially attached by muscle, bone, tendon, or skin)"
Breathing difficulties - first aid,"People having breathing difficulty will often look uncomfortable. They may be:; They might have other symptoms, including:; If an allergy is causing the breathing problem, they might have a rash or swelling of the face, tongue, or throat.; If an injury is causing breathing difficulty, they might be bleeding or have a visible wound.; Breathing rapidly; Unable to breathe lying down and need to sit up to breathe; Very anxious and agitated; Sleepy or confused; Dizziness or lightheadedness; Pain; Fever; Cough; Nausea; Vomiting; Bluish lips, fingers, and fingernails; Chest moving in an unusual way; Gurgling, wheezing, or making whistling sounds; Muffled voice or difficulty speaking; Coughing up blood; Rapid or irregular heartbeat; Sweating"
Tailbone trauma,Symptoms include:; Bruising on the lower part of the spine; Pain when sitting or putting pressure on the tailbone
CPR,
CPR - infant,CPR should be done if the infant has the following symptoms:; No breathing; No pulse; Unconsciousness
CPR - young child (age 1 year to onset of puberty),CPR should be done if the child has any of the following symptoms:; No breathing; No pulse; Unconsciousness
CPR - adult and child after onset of puberty,CPR should be done if a person has any of the following symptoms:; No breathing or difficulty breathing (gasping); No pulse; Unconsciousness
Dislocation,"A dislocated joint may be:; Nursemaid's elbow, or pulled elbow, is a partial dislocation that is common in toddlers. The main symptom is pain so that the child doesn't want to use the arm. This dislocation can be easily treated in your provider's office.; Accompanied by numbness or tingling at the joint or beyond it; Very painful, especially if you try to use the joint or put weight on it; Limited in movement; Swollen or bruised; Visibly out of place, discolored, or misshapen"
Drug use first aid,"Drug overdose symptoms vary widely, depending on the specific drug used, but may include:; Drug withdrawal symptoms also vary widely, depending on the specific drug used, but may include:; Abnormal pupil size or pupils that don't change size when light is shined into them; Agitation; Seizures, tremors; Delusional or paranoid behavior, hallucinations; Difficulty breathing; Drowsiness, coma; Nausea and vomiting; Staggering or unsteady gait (ataxia); Sweating or extremely dry, hot skin, blisters, rash; Violent or aggressive behavior; Death; Abdominal cramping; Agitation, restlessness; Cold sweat; Delusions, hallucinations; Depression; Nausea, vomiting, diarrhea; Seizures; Death"
How to make a sling,
Smashed fingers,Symptoms may include any of the following:; Difficulty moving the tip of the finger; Discoloration or bruising of the finger or fingernail; Finger pain; Loss of fingernail; Swelling
Broken or dislocated jaw,"Symptoms of a broken jaw include:; Symptoms of a dislocated jaw include:; Pain in the face or jaw, located in front of the ear or on the affected side,Â that gets worse with movement; Bruising and swelling of the face, bleeding from the mouth; Difficulty chewing; Misaligned teeth or jaw; Jaw stiffness, difficulty opening the mouth widely, or problem closing the mouth; Jaw moving to one side when opening; Jaw tenderness or pain, worse with biting or chewing; Loose or damaged teeth; Lump or abnormal appearance of the cheek or jaw; Numbness of the face (particularly the lower lip); Ear pain; Pain in the face or jaw, located in front of the ear or on the affected side that gets worse with movement; Bite that feels ""off"" or crooked; Problems talking; Inability to close the mouth; Drooling because of inability to close the mouth; Locked jaw or jaw that protrudes forward; Teeth that do not line up properly"
Unconsciousness - first aid,"The person will be unresponsive (does not respond to activity, touch, sound, or other stimulation).; The following symptoms may occur after a person has been unconscious:; If the person is unconscious from choking, symptoms may include:; Being asleep is not the same as being unconscious. A sleeping person will respond to loud noises or gentle shaking. An unconscious person will not.; Amnesia for (not remembering) events before, during, and even after the period of unconsciousness; Confusion; Drowsiness; Headache; Inability to speak or move parts of the body (stroke symptoms); Lightheadedness; Loss of bowel or bladder control (incontinence); Rapid heartbeat (palpitations); Slow heartbeat; Stupor (severe confusion and weakness); Inability to speak; Difficulty breathing; Noisy breathing or high-pitched sounds while inhaling; Weak, ineffective coughing; Bluish skin color"
Crush injury,
Radiation sickness,"Symptoms of radiation sickness may include:; Your health care provider will advise you how best to treat these symptoms. Medicines may be prescribed to help reduce nausea, vomiting, and pain. Blood transfusions may be given for anemiaÂ (low counts of healthy red blood cells). Antibiotics are used to prevent or fight infections.; Weakness, fatigue, fainting, confusion; Bleeding from the nose, mouth, gums, and rectum; Bruising, skin burns, open sores on the skin, sloughing of skin; Dehydration; Diarrhea, bloody stool; Fever; Hair loss; Inflammation of exposed areas (redness, tenderness, swelling, bleeding); Nausea and vomiting, including vomiting of blood; Ulcers (sores) in the mouth, esophagus (food pipe), stomach or intestines"
Poison ivy - oak - sumac rash,"Symptoms include:; The reaction can vary from mild to severe. In rare cases, the person with the rash needs to be treated in the hospital. The worst symptoms are often seen during days 4 to 7 after coming in contact with the plant. The rash may last for 1 to 3 weeks.; Extreme itching; Red, streaky, patchy rash where the plant touched the skin; Red bumps, which may form large, weeping blisters"
Head injury - first aid,"Head injuries may cause bleeding in the brain tissue and the layers that surround the brain (subarachnoid hemorrhage, subdural hematoma, epidural hematoma).; Symptoms of a head injury can occur right away or may develop slowly over several hours or days. Even if the skull is not fractured, the brain can hit the inside of the skull and be bruised. The head may look fine, but problems could result from bleeding or swelling inside the skull.; The spinal cord is also likely to be injured from falls from a significant height or ejection from a vehicle.; Some head injuries cause changes in brain function. This is called a traumatic brain injury. A concussion is a type of traumatic brain injury. Symptoms of a concussion can range from mild to severe."
Spinal injury,"Symptoms of a spinal cord injury may include any of the following:; Head that is in an unusual position; Numbness or tingling that spreads down an arm or leg; Weakness; Difficulty walking; Paralysis (loss of movement) of arms or legs; Loss of bladder or bowel control; Shock (pale, clammy skin, bluish lips and fingernails, acting dazed or semiconscious); Lack of alertness (unconsciousness); Stiff neck, headache, or neck pain"
Burns,"Burn symptoms can include:; You may have an airway burn if you have:; Blisters that are either intact (unbroken)Â or have ruptured and are leaking fluid.; Pain -- How much pain you have is unrelated to the level of burn. The most serious burns can be painless.; Peeling skin.; ShockÂ -- Watch for pale and clammy skin, weakness, blue lips and fingernails, and a decrease in alertness.; Swelling.; Red, white, or charred skin.; Burns on the head, face, neck, eyebrows, or nose hairs; Burned lips and mouth; Coughing; Difficulty breathing; Dark, black-stained mucus; Voice changes; Wheezing"
